N,N_coil,N_center,center_fraction,L80_cm,R80_cm,t_us,retained,center_initial
9.857406260097567e+18,8.802675379081955e+18,3.2929305077159383e+18,0.33405648715581554,26.603740014564963,4.300813443434078,0.0,1.0,0.33405648715581554
9.783584271574686e+18,8.766231266570578e+18,3.2759520368777477e+18,0.3348417048336496,26.425551076388885,4.164927035703176,0.1997826018442451,0.9925110128795533,0.332334079618762
9.776547020516147e+18,8.839330955002113e+18,3.3398414012502093e+18,0.34161768917405405,25.470379161186894,3.4937047569987922,0.3995652036884775,0.9917971079361175,0.3388154361426463
9.774269840526969e+18,8.917523260371065e+18,3.5127515514874506e+18,0.35938761757144866,23.813339390426055,2.920256130018074,0.5993478055327053,0.9915660958494598,0.35635657685196004
9.773590304804938e+18,8.963542275016364e+18,4.0493557162219674e+18,0.414316089577768,21.563519008631427,2.927067633467149,0.799130407376933,0.9914971592850025,0.4107932258624276
9.77619569995402e+18,8.993484933927246e+18,5.046312977907991e+18,0.5161837112090263,18.82504843704021,2.6514160776504343,0.9989130092211825,0.9917614676720504,0.5119311150170697
9.772779985788922e+18,9.001011659499248e+18,6.196265078855607e+18,0.6340330067663347,15.624143538481928,2.6525216708846893,1.1986956110655065,0.991414955204676,0.6285898050015317
9.77373561257358e+18,9.002626243124703e+18,7.123098555900514e+18,0.7288000042416627,12.311047372040985,2.583212535706756,1.3984782129098305,0.9915119002589268,0.7226138771143649
9.77078833647306e+18,8.992158937478781e+18,7.761102376463908e+18,0.7943169076227699,10.205483280345634,2.5971303355916637,1.5982608147541544,0.9912129092238864,0.7873371728504868
9.769552595107516e+18,8.978428875080927e+18,7.815630368987455e+18,0.7999988016750569,10.376766222769646,2.4856589757877994,1.7980434165984784,0.9910875475077375,0.7928688503612611
9.769665993366411e+18,8.964113290258338e+18,7.406499958555828e+18,0.7581118907836594,11.291220085975235,2.385009886043642,1.9978260184427152,0.9910990513715231,0.7513639757891566
9.770938223934167e+18,8.944080858899098e+18,7.119184467816106e+18,0.7286080727004781,12.110689447606761,2.2561039650560053,2.1976086202868466,0.9912281147918779,0.7222168063250385
9.768907411682615e+18,8.899045916299373e+18,7.054463261522631e+18,0.7221343149476689,12.212132856886079,2.235427173567143,2.3973912221309783,0.9910220958658068,0.7156510622960575
9.766195568040554e+18,8.840366042371983e+18,7.179422924624401e+18,0.735129956655665,11.630206251920104,2.2414077899419786,2.5971738239751097,0.9907469886448497,0.7283277908192191
9.762841778856092e+18,8.785166788093064e+18,7.351674399327838e+18,0.753026072311215,10.878818399169793,2.251798057169566,2.7969564258192414,0.9904067582540177,0.745802111158506
9.756521174449484e+18,8.731500736807203e+18,7.455317349192882e+18,0.7641368491790879,10.346845497406584,2.2692803413262004,2.9967390276633727,0.989765554651383,0.7563163323573001
9.747902829860102e+18,8.674620944116869e+18,7.383899649004091e+18,0.757485971893922,10.42625121950214,2.2785656805403804,3.196521629507504,0.9888912532010848,0.7490712520284222
9.736617013404762e+18,8.618313948985141e+18,7.185079729665232e+18,0.7379441668264517,10.982997769032913,2.2591575824210373,3.396304231351636,0.9877463458940761,0.7289016542566762
9.718301577841312e+18,8.564338228564556e+18,6.944227005928661e+18,0.7145515037074158,11.651552653782696,2.2491859626675286,3.596086833195767,0.9858883078787829,0.7044679728823441
9.696099754146126e+18,8.510782852357209e+18,6.758171138740294e+18,0.6969989284454761,12.19486835956724,2.249130224295878,3.795869435039899,0.9836360091391988,0.685593244350406
9.671997387003304e+18,8.445870418549553e+18,6.642232837420513e+18,0.686748824637399,12.450381466893454,2.229917414670665,3.9956520368843793,0.9811909067961628,0.6738317019871686
9.646926097814546e+18,8.355166827187368e+18,6.578312233740109e+18,0.6819076011404697,12.433570209971075,2.230228950425849,4.195434638728896,0.9786475106402952,0.6673471763428159
9.619861362769035e+18,8.255588209803028e+18,6.529341671342937e+18,0.6787355269601821,12.32283127418841,2.234070270755003,4.3952172405734125,0.9759018862507367,0.6623792810258295
9.589248716227318e+18,8.161406975161747e+18,6.460658581003205e+18,0.67373980717282,12.303649217212367,2.2394876893721194,4.594999842417929,0.9727963384287263,0.6554116174713954
9.551444653226734e+18,8.060090736037432e+18,6.382284117755277e+18,0.6682009213757178,12.300354041530483,2.2462933690588374,4.794782444262445,0.9689612461130516,0.6474607974301048
9.508281353517142e+18,7.964266182820424e+18,6.29517016298735e+18,0.662072348191374,12.360877624538706,2.233576353572554,4.9945650461069615,0.9645824776448881,0.6386233859986046
9.458747758617969e+18,7.874761750242311e+18,6.20044654391398e+18,0.6555250972058838,12.482205564625575,2.2213588675841707,5.194347647951478,0.95955746461487,0.6290140002662941
9.400232044671205e+18,7.789938873990291e+18,6.103196955367139e+18,0.6492602444667218,12.657351925822757,2.222089684866171,5.394130249795994,0.9536212464655143,0.6191483636088598
9.333707644534028e+18,7.704221320341897e+18,6.012940926757602e+18,0.6442178345149774,12.795648965935705,2.216597865438109,5.593912851640511,0.9468725746159563,0.6099921995807127
9.265586256349508e+18,7.621708489305728e+18,5.937124500859517e+18,0.6407715968097467,12.885635210795504,2.2179669271118247,5.793695453485028,0.9399618938154426,0.6023008836404347
9.195327913531617e+18,7.546080705908168e+18,5.863102047188691e+18,0.637617505577011,12.962810609778156,2.214192112223384,5.993478055329544,0.932834426308874,0.5947915600194263
9.123145813492668e+18,7.467856896905941e+18,5.783469212086675e+18,0.6339336595424375,13.047745582585982,2.2096957470723075,6.1932606571740605,0.9255118002412908,0.5867130824766709
9.049741075216628e+18,7.389727433158582e+18,5.720241665974186e+18,0.6320889866826668,13.05067427775875,2.205046989519909,6.393043259018577,0.9180651417249243,0.5802988651415862
8.972377404664439e+18,7.316767555549106e+18,5.648307021430395e+18,0.6295217829885342,13.126262088769696,2.201507463446702,6.592825860863093,0.9102168631300412,0.5730013425838542
8.898543685966809e+18,7.247168700056779e+18,5.585603193432165e+18,0.627698575244484,13.208436935608415,2.201761448394171,6.79260846270761,0.9027266860236653,0.5666402546522294
8.826526615286896e+18,7.175120372367486e+18,5.512264120426043e+18,0.624511131125941,13.328842133509308,2.2032150657241782,6.992391064552127,0.8954208016175984,0.5592002576519033
8.756050003837577e+18,7.106038844947879e+18,5.434252714539044e+18,0.6206283326565443,13.49157537167899,2.1964063637817484,7.192173666396643,0.8882711915082326,0.5512862685325964
8.687821577575138e+18,7.038604318809387e+18,5.350005726400444e+18,0.6158052025619162,13.70071961901363,2.19103579548188,7.3919562682411595,0.8813496520624431,0.5427397010161871
8.613446465483552e+18,6.967827350742269e+18,5.271469018414575e+18,0.612004618539025,13.858700097203155,2.194173791144018,7.591738870085676,0.8738045524562054,0.5347724218036235
8.541098081535668e+18,6.890863730588604e+18,5.194878522781524e+18,0.608221387131934,13.939184042624502,2.1829998381403497,7.791521471929567,0.8664650574573285,0.5270025791480472
8.469930736437197e+18,6.815915465381683e+18,5.124441850049696e+18,0.6050157916881913,14.053695457252768,2.178427515316594,7.991304073773314,0.8592453747922695,0.5198570206843616
8.465686728802292e+18,6.811706842079638e+18,5.1203283225004e+18,0.6048331915094163,14.057471734893506,2.178144524734854,7.999875604545488,0.8588148347979826,0.519439717446496
